title,date,views,comment_count,time,comment
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"PLEASE SEE:
I highly recommend you to go to Hougang Avenue 1 Block 105 Market to eat the following food:
- Carrot Fingers
- Yi Liu Xiang Nasi Lemak
- Blue Star Hokkien Mee 
- Da Zhong Coffee Stall's Coffee
- Kway Chap beside Blue Star Hokkien Mee

IS VERY GOOD! :)"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Please try Thaipan at Mandarin Garden! They’re a zhichar place that sells the best butter squid. Was my go to place after classes in JC
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"The height of the drop isn't high at all. Built of that phone is really quite questionable. If it was banned, this wouldn't have happened. HAHA."
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago (edited),I'll come from Malaysia just to see the son that take over the chicken rice stall
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Its 12 am and i got test tomorrow but i cant miss food king 😂
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Finally Aiken wearing his taghuer
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,1:44 Am I the only one who hears Aiken say quid instead of squid? 😅
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,singapore is so small how far can it be lol
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,21 hours ago,Sad life to dee kosh phone 2019📱😢☹️
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago (edited),"7:22 word pun started
7:30 some more
13:18 just rate 3 stars without Dee

Summary of the video:
Ultimate evolution of good food in places that are frozen in time."
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,The best nasi padang in singapore please. It's help tourist like me a lot.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I carry heavier teammates in call of duty...
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"The last time I was this early, Majapahit Empire was still exist."
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Is it just me or this is like really the first time Food King features sotong lol.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"When your early and don’t know what to say

Me:hi...."
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Your foodking logo was at the one everyone thinks is the best in joo chiat 🤣
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,is aiken wearing the watch ryan gave him?
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I’m in the North East. Does that count as north? Or East?
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"the best thing about this episode so far is the son that has taken over.
""3...2...1, ITS 3 STARS AND IT'S FOOD KING GOOD."""
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I coming again to Singapore just for that Chicken rice!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Finally chicken and rice on this show rip deekoshes phone btw
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"MAKE A FOOD KING VID ABOUT THE BEST LAKSAAAAAA, ITS MANDATORY 🥘"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Did Dee Kosh mention pontianak as in the city “pontianak” ?
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I will never be able to look at youtiao the same way again.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,that last comment from dee is hilarious.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I don't know what to say... I tried their food there. It was wonderful!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"Wah if you say to my grandma ""peranakan is a state of mind"" she will f*cking bite your backside sia..."
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I think you need to have some basic manners and respects for other business owners.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"I was literally at school when they
 filmed this vid
Lol"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Anyone actually rewind/playback when the uncle announced number 33? 😂
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"can someone help what is meant by ""peranakan restaurant”?"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"look at my phone
look at my 
look at my 
phone



yep dee its so pretty now 😍"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,3:00 aw man i thought it was his toe
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,10:48 yOoOoOOo i eat that before and its rly damn nice sia everytime i go there always long queue one
